Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.SBT_34043, 0.4498893, 0.06002763, 0.4498893, 0.06002763, 0, 0
Line.SBT_34045, 3.30022, 0.485114, 3.30022, 0.485114, 0, 0
Line.SBT_34046, 1.667178, 0.2450691, 1.667178, 0.2450691, 0, 0
Line.SBT_34047, 1.356719, 0.201949, 1.356719, 0.201949, 0, 0
Line.SBT_34048, 2.386946E-010, -0.00639367, 2.386946E-010, -0.00639367, 0, 0
Line.SBT_34049, 0.04276808, -0.002656615, 0.04276808, -0.002656615, 0, 0
Line.SBT_34050, 2.849538, 0.4188664, 2.849538, 0.4188664, 0, 0
Line.SBT_27961, 0.3889091, 0.05689695, 0.3889091, 0.05689695, 0, 0
Line.SBT_26169, 0.3355162, 0.1505529, 0.3355162, 0.1505529, 0, 0
Line.SBT_31367, 0.04402423, 0.01859487, 0.04402423, 0.01859487, 0, 0
Line.SBT_7502, 7.277501E-010, -0.006335506, 7.277501E-010, -0.006335506, 0, 0
Line.SBT_7503, 2.066502E-010, -0.003616349, 2.066502E-010, -0.003616349, 0, 0
Line.SBT_13701, 0.03608626, 0.0101478, 0.03608626, 0.0101478, 0, 0
Line.SBT_13503, 0.08628066, 0.03871075, 0.08628066, 0.03871075, 0, 0
Line.SBT_13505, 0.1562732, 0.07399511, 0.1562732, 0.07399511, 0, 0
Line.SBT_23529, 8.786628E-011, -0.008120211, 8.786628E-011, -0.008120211, 0, 0
Line.SBT_22791, 5.213608E-010, -0.01115026, 5.213608E-010, -0.01115026, 0, 0
Line.SBT_22792, -2.048375E-011, -0.0123897, -2.048375E-011, -0.0123897, 0, 0
Line.SBT_8806, 0.0270996, 0.008368121, 0.0270996, 0.008368121, 0, 0
Line.SBT_8807, 8.597827, 4.406702, 8.597827, 4.406702, 0, 0
Line.SBT_8765, 0.5050349, 0.250033, 0.5050349, 0.250033, 0, 0
Line.SBT_8766, 4.192539E-010, -0.009349486, 4.192539E-010, -0.009349486, 0, 0
Line.SBT_8561, 4.991073, 2.557471, 4.991073, 2.557471, 0, 0
Line.SBT_8562, 2.436316, 1.240142, 2.436316, 1.240142, 0, 0
Line.SBT_22718, 7.132098, 3.654034, 7.132098, 3.654034, 0, 0
Line.SBT_23081, 1.694354E-010, -0.01175402, 1.694354E-010, -0.01175402, 0, 0
Line.SBT_22714, 0.06134103, 0.02512399, 0.06134103, 0.02512399, 0, 0
Line.SBT_21251, 0.2709464, 0.1269279, 0.2709464, 0.1269279, 0, 0
Line.SBT_23514, 1.457617E-009, -0.01184424, 1.457617E-009, -0.01184424, 0, 0
Line.SBT_23398, 5.416862, 2.771061, 5.416862, 2.771061, 0, 0
Line.SBT_23155, 0.2103853, 0.09026407, 0.2103853, 0.09026407, 0, 0
Line.SBT_29030, 8.996838, 4.605277, 8.996838, 4.605277, 0, 0
Line.SBT_26170, 0.4546398, 0.2306322, 0.4546398, 0.2306322, 0, 0
Line.SBT_26136, 0.4014686, 0.2036623, 0.4014686, 0.2036623, 0, 0
Line.SBT_26340, 6.693174, 3.429139, 6.693174, 3.429139, 0, 0
Line.SBT_7667, 2.358421, 1.84219, 2.358421, 1.84219, 0, 0
Line.SBT_7894, 2.854057, 0.421664, 2.854057, 0.421664, 0, 0
Line.SBT_7895, 0.0838783, 0.01170406, 0.0838783, 0.01170406, 0, 0
Line.SBT_7896, 10.1388, 7.941052, 10.1388, 7.941052, 0, 0
Line.SBT_8084, 4.060397, 3.176549, 4.060397, 3.176549, 0, 0
