
Power Delivery Element Overload Report

SYMMETRICAL COMPONENT CURRENTS BY CIRCUIT ELEMENT 

Element                             Term    I1    IOver %Normal  %Emerg     I2    %I2/I1    I0    %I0/I1
"Line.MT112361_1"         1    38.6 -284.10    13.1   715.1     2.6     6.8     2.0     5.2
"Line.MT112636_1"         1     6.7 -155.00     4.9   100.0     0.9    13.4     0.9    13.8
"Line.MT116206_1"         1    10.0 -152.27     6.6   134.2     0.8     8.0     0.0     0.3
"Line.MT118750_1"         1     8.7 -152.61     6.4   129.8     0.9     9.9     1.0    11.5
"Line.MT118752_1"         1     8.8 -152.50     6.4   131.2     0.9     9.7     1.0    11.4
"Line.MT122436_1"         1    54.6 -372.75    12.9  1381.2     0.9     1.6     0.5     0.9
"Line.MT125388_1"         1    33.4 -289.08    11.6   632.0     2.8     8.3     2.0     5.9
"Line.MT130201_1"         1    33.4 -288.83    11.7   636.2     2.9     8.5     2.0     6.1
"Line.MT130259_1"         1     8.6 -152.72     6.3   128.5     0.9     9.9     1.0    11.4
"Line.MT130437_1"         1    25.8 -298.57     8.7   473.8     1.7     6.6     0.9     3.5
"Line.MT132709_1"         1    32.9 -289.83    11.4   619.4     2.6     8.0     1.8     5.5
"Line.MT135143_1"         1     8.7 -152.61     6.4   129.9     0.9    10.1     1.0    11.5
"Line.MT14207_1"          1     9.1 -153.37     5.9   120.4     0.6     6.3     0.0     0.4
"Line.MT14208_1"          1     9.1 -153.37     5.9   120.4     0.6     6.3     0.0     0.4
"Line.MT14209_1"          1     9.1 -153.37     5.9   120.4     0.6     6.3     0.0     0.4
"Line.MT14213_1"          1     9.1 -153.37     5.9   120.4     0.6     6.3     0.0     0.4
"Line.MT14219_1"          1     9.1 -153.37     5.9   120.4     0.6     6.3     0.0     0.4
"Line.MT14220_1"          1     9.1 -153.37     5.9   120.4     0.6     6.3     0.0     0.4
"Line.MT14222_1"          1     9.1 -153.37     5.9   120.4     0.6     6.3     0.0     0.4
"Line.MT14239_1"          1     9.6 -152.72     6.3   128.5     0.7     7.2     0.0     0.4
"Line.MT14241_1"          1     9.6 -152.72     6.3   128.5     0.7     7.2     0.0     0.4
"Line.MT14243_1"          1     9.6 -152.72     6.3   128.5     0.7     7.2     0.0     0.4
"Line.MT14252_1"          1    10.0 -152.27     6.6   134.2     0.8     8.0     0.0     0.3
"Line.MT14253_1"          1    10.0 -152.27     6.6   134.2     0.8     8.0     0.0     0.3
"Line.MT14256_1"          1    10.0 -152.27     6.6   134.2     0.8     8.0     0.0     0.3
"Line.MT14257_1"          1    10.0 -152.27     6.6   134.2     0.8     8.0     0.0     0.3
"Line.MT14258_1"          1    10.0 -152.27     6.6   134.2     0.8     8.0     0.0     0.3
"Line.MT14260_1"          1    10.2 -152.04     6.7   137.0     0.8     8.2     0.0     0.3
"Line.MT14261_1"          1    10.2 -152.04     6.7   137.0     0.8     8.2     0.0     0.3
"Line.MT14262_1"          1    11.1 -151.04     7.3   149.5     0.9     7.8     0.0     0.3
"Line.MT14263_1"          1    11.1 -151.04     7.3   149.5     0.9     7.8     0.0     0.3
"Line.MT14270_1"          1    11.1 -151.04     7.3   149.5     0.9     7.8     0.0     0.3
"Line.MT14271_1"          1    11.1 -151.04     7.3   149.5     0.9     7.8     0.0     0.3
"Line.MT14283_1"          1    11.1 -151.04     7.3   149.5     0.9     7.8     0.0     0.3
"Line.MT14284_1"          1    11.1 -151.04     7.3   149.5     0.9     7.8     0.0     0.3
"Line.MT143288_1"         1    21.4 -304.68     6.8   371.9     0.9     4.3     0.0     0.0
