Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.RBT_2113146, 0.2352461, 0.007880919, 0.2352461, 0.007880919, 0, 0
Line.RBT_2113147, 0.01213238, -0.002275954, 0.01213238, -0.002275954, 0, 0
Line.RBT_2136880, 0.0828387, 0.002446912, 0.0828387, 0.002446912, 0, 0
Line.RBT_2137133, 0.02710153, -0.00107013, 0.02710153, -0.00107013, 0, 0
Line.RBT_2836791, 0.008345444, -0.001353714, 0.008345444, -0.001353714, 0, 0
Line.RBT_1913284, 0.04971714, 0.001767103, 0.04971714, 0.001767103, 0, 0
Line.RBT_2137936, 2.579792E-005, -0.0001971316, 2.579792E-005, -0.0001971316, 0, 0
Line.RBT_2137790, 0.0007836257, -0.0005654069, 0.0007836257, -0.0005654069, 0, 0
Line.RBT_2138187, 2.602375E-011, -0.001824409, 2.602375E-011, -0.001824409, 0, 0
Line.RBT_2133554, 0.1889878, 0.009425043, 0.1889878, 0.009425043, 0, 0
Line.RBT_2128410, 0.2520418, 0.008542035, 0.2520418, 0.008542035, 0, 0
Line.RBT_2126891, 0.006942611, -0.0001067794, 0.006942611, -0.0001067794, 0, 0
Line.RBT_2113168, 0.08377537, 0.003053917, 0.08377537, 0.003053917, 0, 0
Line.RBT_2113170, 0.006902593, -0.001447722, 0.006902593, -0.001447722, 0, 0
Line.RBT_2113174, 0.1002852, 0.002599075, 0.1002852, 0.002599075, 0, 0
Line.RBT_2113175, 0.05418158, 0.00232938, 0.05418158, 0.00232938, 0, 0
Line.RBT_2113178, 0.0006594326, -0.001164556, 0.0006594326, -0.001164556, 0, 0
Line.RBT_2130113, 0.4547426, 0.02320494, 0.4547426, 0.02320494, 0, 0
Line.RBT_2132868, 0.1121425, 0.004533201, 0.1121425, 0.004533201, 0, 0
Line.RBT_2132785, -1.401637E-011, -0.00111425, -1.401637E-011, -0.00111425, 0, 0
Line.RBT_2136766, 0.00340625, -0.0009564462, 0.00340625, -0.0009564462, 0, 0
Line.RBT_2130118, 2.286192, 0.1211416, 2.286192, 0.1211416, 0, 0
Line.RBT_2113193, 0.1088302, 0.00364308, 0.1088302, 0.00364308, 0, 0
Line.RBT_2113194, 0.001105819, -0.0007860048, 0.001105819, -0.0007860048, 0, 0
Line.RBT_2113195, 0.3716694, 0.01921932, 0.3716694, 0.01921932, 0, 0
Line.RBT_2124879, 0.1253061, 0.005426047, 0.1253061, 0.005426047, 0, 0
Line.RBT_2120658, 0.9134839, 0.04740384, 0.9134839, 0.04740384, 0, 0
Line.RBT_2132493, 0.03224181, -0.00370254, 0.03224181, -0.00370254, 0, 0
Line.RBT_2113223, 0.2313612, 0.01094585, 0.2313612, 0.01094585, 0, 0
Line.RBT_2124870, 0.03828972, 0.001554147, 0.03828972, 0.001554147, 0, 0
Line.RBT_2130380, 0.4344042, 0.02253986, 0.4344042, 0.02253986, 0, 0
Line.RBT_2124881, 0.1742008, 0.006322571, 0.1742008, 0.006322571, 0, 0
Line.RBT_2113219, 0.6129884, 0.03222245, 0.6129884, 0.03222245, 0, 0
Line.RBT_2113220, 3.564337E-005, -0.0003719573, 3.564337E-005, -0.0003719573, 0, 0
Line.RBT_2113221, 0.19481, 0.01000047, 0.19481, 0.01000047, 0, 0
Line.RBT_2120104, 1.54321, 0.0783032, 1.54321, 0.0783032, 0, 0
Line.RBT_2132151, 2.415445, 0.1273364, 2.415445, 0.1273364, 0, 0
Line.RBT_2128939, 0.03825715, -0.002519065, 0.03825715, -0.002519065, 0, 0
Line.RBT_2132789, 1.887969E-005, -0.003603369, 1.887969E-005, -0.003603369, 0, 0
Line.RBT_2136170, 0.0003531765, -0.001222666, 0.0003531765, -0.001222666, 0, 0
Line.RBT_2113183, 0.05735403, 0.002472929, 0.05735403, 0.002472929, 0, 0
Line.RBT_2113184, 0.6168373, 0.0315419, 0.6168373, 0.0315419, 0, 0
Line.RBT_2113185, 0.7947826, 0.04105689, 0.7947826, 0.04105689, 0, 0
Line.RBT_1914516, 0.03579922, 0.001669808, 0.03579922, 0.001669808, 0, 0
Line.RBT_1914517, 2.022097, 0.1048379, 2.022097, 0.1048379, 0, 0
Line.RBT_311747, 0.01675639, 0.0006059812, 0.01675639, 0.0006059812, 0, 0
Line.RBT_311750, 0.01845425, -0.004335532, 0.01845425, -0.004335532, 0, 0
Line.RBT_311751, 0.004801175, 0.0002085263, 0.004801175, 0.0002085263, 0, 0
Line.RBT_332639, 0.2247402, 0.0102778, 0.2247402, 0.0102778, 0, 0
Line.RBT_338911, 1.490383E-011, -0.001459998, 1.490383E-011, -0.001459998, 0, 0
Line.RBT_334854, 0.4622493, 0.0233628, 0.4622493, 0.0233628, 0, 0
Line.RBT_312155, 0.05957517, 0.0002127226, 0.05957517, 0.0002127226, 0, 0
Line.RBT_312792, 0.01953285, -0.0005535149, 0.01953285, -0.0005535149, 0, 0
Line.RBT_320163, 1.189184, 0.06121659, 1.189184, 0.06121659, 0, 0
Line.RBT_311925, 0.8468046, 0.04459828, 0.8468046, 0.04459828, 0, 0
Line.RBT_317405, 0.1710548, 0.008126243, 0.1710548, 0.008126243, 0, 0
Line.RBT_317406, 0.8816951, 0.04640716, 0.8816951, 0.04640716, 0, 0
Line.RBT_333066, 0.1468303, 0.006733502, 0.1468303, 0.006733502, 0, 0
Line.RBT_317402, 0.1439634, 0.007582292, 0.1439634, 0.007582292, 0, 0
